0,1,2
"尔康制药(300267)：突破药辅领域,植物淀粉迎来收获期",2015-10-16,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000c8xfe.pdf
飞天诚信(300386)：国内领先的身份认证信息安全产品提供商,2014-06-13,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000009k6mg.pdf
SOHU.COM INC.(SOHU.US)：UPGRADE TO OW(V)： REGULATORY UNCERTAINTY CREATES BUYING OPPORTUNITY,,https://bigdata-s3.wmcloud.com/jyresearchreport/article/452522081544.pdf
"康缘药业(600557)：重磅新品拓展顺利,未来业绩增速有望提升",2013-10-28,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000008j46v.pdf
中钢国际公司半年报：业绩符合预期，现金流好转，海外订单有望放量，转型稳步推进,2015-07-22,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000bsx67.pdf
Bank of East Asia：Funding pressure squeezes NIM,2014-08-04,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000009u0j2.pdf
千红制药(002550)：酶与肝素齐飞，一季报或超预期,2013-03-20,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000006tvcv.pdf
置信电气：巴黎气候大会召开，碳减排先锋启航,2015-12-01,https://bigdata-s3.wmcloud.com/jyresearchreport/article/502292982114.pdf
深度*公司*天健集团(000090)：深国资改革先锋 多元化产业转型,2014-12-24,https://bigdata-s3.wmcloud.com/jyresearchreport/article/472746941952.pdf
梦洁家纺：Q3收入增速转正，智能家居继续推进,2015-11-10,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000cj825.pdf
"CNOOC (0883.HK) ： 2014 to see low growth, high capex; strong growth in 2015",2014-01-21,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000008tmpr.pdf
"Bank of Communications：Improving deposit position, rising NPL",2013-04-27,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/000000000000070o0n.pdf
九州通(600998)跟踪报告：携手春雨医生，一站式问诊购药模式成型,2014-09-25,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000a6d2b.pdf
"Champion REIT (2778.HK)：In line with expectations,still high vacancy amid soft demand",2013-08-09,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/000000000000089vuc.pdf
WULIANGYE YIBIN(000858)：DECLINED BUT LIKELY MORE TO GO; DOWNGRADING TO SELL,,https://bigdata-s3.wmcloud.com/jyresearchreport/article/452100067803.pdf
航空动力调研简报：各业务发展顺利，创建航空发动机平台,2013-12-13,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000008owvp.pdf
Luen Thai：NDR takeaways,2013-09-04,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000008dcih.pdf
金一文化(002721)：贵金属工艺品行业领先企业,2014-01-16,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000008sylp.pdf
中信国安(000839)：具备国企改格先锋优势，新能源业务提升空间大,2014-03-04,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000008zup6.pdf
金智科技：能源互联网＋智慧城市，新机遇,2015-03-27,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000b2um1.pdf
珠江啤酒：主营业务稳步增长，期待国企改革红利,2015-03-31,https://bigdata-s3.wmcloud.com/jyresearchreport/article/481133739413.pdf
国祯环保(300388)：未来看流域治理＆政府项目下放,2014-11-19,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000agmha.pdf
盛京银行(02066)：中国东北地区规模最大的城市商业银行,2014-12-17,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000albrk.pdf
"洋河股份(002304)：一季报初步验证,未来持续看好",2014-04-25,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000009axqa.pdf
特变电工(600089)首次推出限制性股票激励方案,2014-05-04,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000009cr49.pdf
璞玉共精金*公司*首旅酒店(600258)中报点评：景区及产权酒店经营低预期投资收益下滑,2014-10-17,https://bigdata-s3.wmcloud.com/jyresearchreport/article/466871602008.pdf
三全食品：三全鲜食有望打造成为鲜食品类垂直平台,2015-08-17,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000bxinc.pdf
永清环保(300187)：短期业绩增长乏力，关注13年新签订单,2013-01-14,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000006jclr.pdf
"CMEC(1829 HK):A lot of negatives factored in, share price recovery on new investment",,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000aeld8.pdf
"网易 (NTES.O)：自主游戏稳定增长,“易信”助力移动端整合,维持“买入”",2013-08-28,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/00000000000008ceae.pdf
章源钨业：收购刚起步，收储渐成风,2015-07-31,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000bv1er.pdf
金盾股份(300411)：高端应用领域的通风机设备制造企业,2014-12-19,https://bigdata-s3.wmcloud.com/jyresearchreport/juling/report/0000000000000alrde.pdf
